team,winrate
XTEN Esports,0.34375
Hunters Esports,0.34375
ODIN Gaming Chile,0.34615384615384615
Life Support,0.34782608695652173
Campus Party Sparks,0.35
Liyab Esports,0.35
x6tence,0.35294117647058826
Ethernum Esports,0.35294117647058826
EGN Esports,0.35294117647058826
Handless,0.35294117647058826
Zwan Gaming Mexico,0.3548387096774194
M19,0.3548387096774194
Boavista FC,0.35714285714285715
Atlando Esports,0.35714285714285715
Hillerød eSport,0.35714285714285715
Horizon Esports,0.35714285714285715
Legacy Genesis,0.35714285714285715
WanZhen Esports Club,0.3620689655172414
LNG Esports,0.36363636363636365
FlyQuest Academy,0.36363636363636365
Exilium Gaming,0.36363636363636365
OP innogy eSport,0.36538461538461536
SK Gaming,0.36538461538461536
Illuminar Gaming,0.36538461538461536
RSCA Esports,0.36666666666666664
Polaris Gaming,0.36666666666666664
Holy Knights,0.3684210526315789
Estonian Vipers,0.3684210526315789
100 Thieves,0.3709677419354839
Loto Gaming,0.37142857142857144
BCN Squad,0.375
Purple Caster Minions,0.375
Michigan State University B,0.375
Vega Squadron,0.375
FragBox,0.375
Team Dynamics Academy,0.375
CPLAY,0.3783783783783784
Spirituals,0.3793103448275862
SuperMassive eSports Academy,0.38095238095238093
Rogue Warriors,0.3815789473684211
ESC Shane,0.38235294117647056
Rogue Warriors Shark,0.38333333333333336
Avant Gaming,0.38461538461538464
Nonchalant Esports,0.38461538461538464
MnM Gaming,0.38461538461538464
Burning Core,0.38461538461538464
Counter Logic Gaming Academy,0.3877551020408163
Griffin,0.38823529411764707
Victory Five,0.3888888888888889
Sinisters,0.3888888888888889
Anzu e-Sports,0.3888888888888889
Tempered Fate,0.3888888888888889
Percent Esports,0.3888888888888889
Playing Ducks,0.3888888888888889
Liga del Mal,0.3888888888888889
Gentlemen's Gaming,0.39285714285714285
FURIA Uppercut,0.3958333333333333
Excel Esports,0.4
Solary,0.4
World Class Mizu,0.4
Snowman Slammers,0.4
Siberian Weasels,0.4
Imperium Perfect,0.4
Blazing Dragons,0.4
Team Blaze,0.4
Kaer Morhen,0.4
Hong Kong Attitude,0.4
Zero Six PowerSpike,0.4
Alpha Esports,0.4
FrostFire,0.4
Chiefs Academy,0.4
ORDER Academy,0.4
Dark Allegiance,0.4
XT Esports,0.4
hyFresh Blade,0.4
Black Condors Esports,0.4
Guarp Gaming,0.4
Frost Esports,0.4
KT Rolster Academy,0.4
Movistar Academy,0.4
Furious Gaming Chile,0.40425531914893614
Beşiktaş Esports,0.40425531914893614
Oh My God,0.4050632911392405
Berjaya Dragons,0.40625
Bifrost,0.4074074074074074
Humanoids5,0.4090909090909091
Galatasaray Esports,0.4090909090909091
Flayn CZSK Edition,0.4117647058823529
Dashing Buffalo,0.4117647058823529
Nordavind,0.4117647058823529
BET Boba Boys,0.4117647058823529
Barrage Academy,0.4117647058823529
River Plate,0.41304347826086957
Elements Pro Gaming,0.41509433962264153
KV Mechelen Esports,0.4166666666666667
Keyd Stars,0.4166666666666667
Team AURORA,0.4166666666666667
Demise,0.4166666666666667
RusherX Gaming,0.4166666666666667
PIGSPORTS,0.4166666666666667
Charlotte Phoenix,0.4166666666666667
Lundqvist Lightside,0.4166666666666667
Havoc,0.4166666666666667
Team Refuse,0.4177215189873418
GameSpace E-Sports,0.41818181818181815
APK Prince,0.4186046511627907
Dragon Army,0.42
100 Thieves Academy,0.4222222222222222
SANDBOX Gaming,0.422680412371134
Falkol e-Sports,0.42424242424242425
S2V Esports,0.4262295081967213
Misfits Gaming,0.42857142857142855
Havan Liberty Gaming,0.42857142857142855
Split Raiders,0.42857142857142855
FALKN,0.42857142857142855
Team X,0.42857142857142855
Cacatuas LFO,0.42857142857142855
Sandbox Gaming Academy,0.42857142857142855
Dark Horse,0.43243243243243246
Inside Games,0.43478260869565216
Santiago Wanderers Esports,0.43478260869565216
KT Rolster,0.43564356435643564
Dark Passage Academy,0.4375
1907 Fenerbahçe Esports Academy,0.4375
Seorabeol Gaming,0.4375
World Class Empyreans,0.4375
Pentanet.GG Rise,0.4375
Godsent,0.4375
JingNetGame,0.43859649122807015
Golden Guardians,0.4393939393939394
Galakticos,0.44
Dynasty,0.4411764705882353
Team THRLL,0.4418604651162791
Malvinas Gaming,0.4423076923076923
Oh My Dream,0.4426229508196721
Spandauer Inferno,0.4444444444444444
OZ Gaming,0.4444444444444444
Relic Esports,0.4444444444444444
Invulnerables Esports,0.4444444444444444
EDward Gaming Youth Team,0.4444444444444444
Hooked Esports,0.4444444444444444
BOX Gaming,0.4444444444444444
Skull Cracker,0.4444444444444444
Hive Athens,0.4444444444444444
Zerolag Esports,0.4444444444444444
eStar Gaming,0.4470588235294118
Cienciano Esports,0.4473684210526316
FC Schalke 04 Esports,0.4489795918367347
Team Queso,0.4492753623188406
Recon 5 Blue,0.45
U.S. Army Esports,0.45
MnM Gaming Academy,0.45
One Breath Gaming,0.45
Cyberground Gaming,0.4528301886792453
Dark Passage,0.4528301886792453
Aethra Esports,0.45454545454545453
Mirage eSports,0.45454545454545453
Polar Ace,0.45454545454545453
Runaway,0.45454545454545453
Bilibili Gaming,0.4567901234567901
Simplicity Esports,0.45714285714285713
Greek Regenesis,0.4583333333333333
TimeOut Esports,0.4583333333333333
MAD Lions,0.4583333333333333
5 Ronin,0.45901639344262296
CrowCrowd,0.46
Zero Tenacity,0.46153846153846156
SAMCLAN Esports Club,0.4634146341463415
BIG,0.4642857142857143
Arctic Gaming Mexico ‏,0.4642857142857143
Golden Guardians Academy,0.46511627906976744
WarKidZ E-Sports,0.4666666666666667
Hybrid Esports,0.4666666666666667
HuijaHaija,0.4666666666666667
justforfun,0.4666666666666667
Titans Gaming Center,0.4666666666666667
University of Alabama,0.47058823529411764
Nordic Dogs,0.47058823529411764
Pentanet.GG,0.47368421052631576
Afreeca Freecs,0.47413793103448276
87,0.47540983606557374
Vici Gaming,0.47619047619047616
Dignitas Academy,0.47619047619047616
Evil Geniuses,0.47619047619047616
Crvena zvezda Esports,0.4782608695652174
TBD,0.4782608695652174
Rensga eSports,0.4782608695652174
YDN Gamers,0.4791666666666667
ConViction,0.48148148148148145
Origen,0.48333333333333334
Team SoloMid,0.4838709677419355
Immortals Academy,0.48484848484848486
Aequilibritas E-Sports,0.4864864864864865
Wygers Colombia,0.48717948717948717
Rogue,0.4880952380952381
7more7 Pompa Team,0.4888888888888889
UCAM Esports Club,0.49019607843137253
Sengoku Gaming,0.49019607843137253
Mad Kings,0.49056603773584906
Ad Hoc Gaming,0.4918032786885246
Dominus Esports.Y,0.4925373134328358
GameWard,0.49333333333333335
CERBERUS Esports,0.49382716049382713
G2 Arctic,0.4948453608247423
Team Secret,0.4948453608247423
Team WE,0.5
Prodigy Esports,0.5
HWA Gaming,0.5
5 Ronin Academy,0.5
Cosmic Insight,0.5
Brevity Outbreak,0.5
Full Spectrum Esports,0.5
BRION Blade,0.5
ProGaming Esports,0.5
Future Perfect UA,0.5
Funny Yellow Dog,0.5
Another Troll Team,0.5
Radiance,0.5
DayDreamers White,0.5
UQ Union,0.5
QUT Tigers,0.5
BDS Esport,0.5
ONECHANCE,0.5
Team Riverside,0.5
LPD,0.5
Slay Fast,0.5
Full Spectrum,0.5
Riddle Academy,0.5
Vanir,0.5
Granit Gaming,0.5
Masonic,0.5
OFFSET Esports,0.5
All Combo,0.5
ENCE,0.5
Reprise,0.5
Puppies Esports,0.5
T1 Academy,0.5
Ehrenstein In Chat,0.5
Genbu Gaming,0.5
We Talent,0.5
Absolute Legends CZSK,0.5
ODIN Gaming,0.5
Volta7 Dark Dragons,0.5
Info Gamers,0.5
Nordavind White,0.5
Royal Never Give Up,0.5058823529411764
Outplayed,0.5087719298245614
Crest Gaming Act,0.509090909090909
Riddle Esports,0.509090909090909
Unicorns of Love Sexy Edition,0.5121951219512195
GeekSide Esports,0.5128205128205128
EURONICS Gaming,0.5135135135135135
Dire Wolves,0.5135135135135135
INTZ,0.5142857142857142
Dusty,0.5142857142857142
Team oNe eSports,0.5172413793103449
LGD Gaming,0.5174825174825175
Young Miracles,0.5178571428571429
Isurus Academy,0.5185185185185185
Goat Riders E-sports,0.5192307692307693
J Team,0.5211267605633803
H34T Esports,0.5217391304347826
Deliverance Esports,0.525
TopHard Esports,0.5277777777777778
Plejehjemmet kalder,0.5277777777777778
Legend Esport Gaming,0.5285714285714286
Invictus Gaming,0.5289256198347108
MAD Lions Madrid,0.53125
Pyrsos Esports,0.5333333333333333
paiN Gaming,0.5333333333333333
Team AURORA Academy,0.5333333333333333
Chiefs Esports Club,0.5340909090909091
LowLandLions,0.5348837209302325
Team Dynamics,0.5352112676056338
Rainbow7,0.5365853658536586
EDward Gaming,0.5368421052631579
Gorillaz Pride,0.5384615384615384
ANEW Academy,0.5384615384615384
Beşiktaş e-Sports Club Academy,0.5416666666666666
Barrage eSports,0.5416666666666666
Spear Gaming,0.5416666666666666
Team GamerLegion,0.5428571428571428
Munster Rugby Academy,0.5428571428571428
LGD.Y,0.5434782608695652
Cream Real Betis,0.5434782608695652
Flamengo eSports,0.5454545454545454
EVOS Esports,0.5454545454545454
Infinity Esports,0.5454545454545454
Team SAMPI,0.5471698113207547
Top Esports Challenger,0.547945205479452
Royal Club,0.55
DRX,0.5526315789473685
Indiana University,0.5555555555555556
Predator Esports (Ecuatorian team),0.5555555555555556
Coscu Army,0.5555555555555556
Domino esport,0.5555555555555556
Awesome Spear Academy,0.5555555555555556
Gamespace Mediterranean College Esports,0.5555555555555556
FunPlus Phoenix,0.5579710144927537
FlyQuest,0.5583333333333333
Cyber Gaming,0.5584415584415584
Azules Esports Academy,0.559322033898305
Super Nova,0.56
Racoon,0.5603448275862069
Evil Geniuses Academy,0.5606060606060606
Mkers,0.5609756097560976
Iron Wolves,0.5625
BuzzKill,0.5666666666666667
Team WE Academy,0.5671641791044776
Vici Gaming Potential,0.5675675675675675
TSM,0.5679012345679012
SINNERS Esports,0.5681818181818182
DragonX,0.5694444444444444
Lowkey Esports,0.5714285714285714
Absolved,0.5714285714285714
London Esports,0.5714285714285714
OverMind,0.5714285714285714
7more7,0.5714285714285714
Team SoloMid Academy,0.5737704918032787
Suning,0.5789473684210527
Tricked Esport,0.5789473684210527
Isurus,0.5857142857142857
Gambit Esports,0.5857142857142857
Fnatic,0.5871559633027523
Team Liquid,0.589041095890411
We Love Gaming,0.5897435897435898
Game Changers,0.59375
SuperMassive Esports,0.5955056179775281
Cream Esports Mexico,0.6
High7,0.6
Team Very Nice,0.6
La Xusion,0.6
Demon Fire Neko,0.6
Lunary,0.6
Impunity,0.6
Galaxy Racer Esports,0.6
ahq e-Sports Club,0.6043956043956044
Vipers Inc,0.6046511627906976
Suning-S,0.6060606060606061
Team Flash,0.6076923076923076
Defusekids,0.6086956521739131
KaBuM! e-Sports,0.609375
Five Kings,0.6097560975609756
Beast Esports,0.6111111111111112
Gen.G Esports,0.6115107913669064
eStar Gaming Youth Team,0.6119402985074627
Misfits Premier,0.6136363636363636
Kaos Latin Gamers,0.6140350877192983
ORDER,0.6162790697674418
CR4ZY,0.6176470588235294
Orgless,0.6190476190476191
PSG Talon,0.6206896551724138
Jin Air Green Wings,0.6226415094339622
Newstar,0.625
Maryville University,0.625
Intrepid Fox Gaming,0.6301369863013698
JD Gaming,0.6330935251798561
Vitality.Bee,0.6333333333333333
PSV Esports,0.6346153846153846
T1,0.6349206349206349
V3 Esports,0.6349206349206349
DragonX Rookie,0.6363636363636364
For The Win Esports,0.6385542168674698
Black Lion,0.6388888888888888
Shu Dai Xiong Gaming,0.6395348837209303
GamersOrigin,0.6404494382022472
RoX,0.6417910447761194
Universidad Católica,0.6428571428571429
FC Schalke 04 Evolution,0.6451612903225806
mousesports,0.646551724137931
Elementaries,0.6470588235294118
HoneyBEE Sports,0.6470588235294118
MAMMOTH Academy,0.65
LDLC OL,0.6511627906976745
Samsung Morning Stars,0.6527777777777778
Talon Esports,0.6527777777777778
GAM Esports,0.6528925619834711
Maryville Esports,0.6538461538461539
Top Esports,0.6566265060240963
Joy Dream,0.6567164179104478
DetonatioN FocusMe,0.6578947368421053
İstanbul Wildcats,0.6612903225806451
G2 Esports,0.6615384615384615
Devils.one,0.6666666666666666
Santos e-Sports,0.6666666666666666
BT Excel,0.6666666666666666
Machi Esports,0.6666666666666666
Kameto Corp,0.6666666666666666
Paradox,0.6666666666666666
Recon 5 Scarlet,0.6666666666666666
MSU Summer Squad,0.6666666666666666
SoulBound Mirage,0.6666666666666666
Viking Esports,0.6666666666666666
Team Eclypse,0.6666666666666666
V Gaming,0.6666666666666666
Anorthosis Famagusta Esports,0.6666666666666666
Afreeca Freecs Academy A,0.6666666666666666
K1ck Neosurf,0.6666666666666666
APOLLO GAMING,0.6666666666666666
The Myth,0.6666666666666666
Misfits Caravan,0.6666666666666666
K1CK eSports Club,0.6696428571428571
RED Canids,0.6739130434782609
Fnatic Rising,0.6779661016949152
NVision Esports,0.6779661016949152
All Knights,0.6785714285714286
Vodafone Giants,0.6853932584269663
KOVA Esports,0.6875
1907 Fenerbahçe Esports,0.6888888888888889
Nocturns Gaming,0.6935483870967742
9z Team,0.6944444444444444
DAMWON Gaming,0.6986301369863014
Energypot Wizards,0.7
Singularity Esports,0.7
First Blood Marauders,0.7
Akuma Blades,0.7
Illinois College,0.7
AceS GaminG,0.7
ANEW Esports,0.7058823529411765
Deliverance Esports Peru,0.7076923076923077
Instinct Gaming,0.7142857142857143
Onoda Esports Team,0.7142857142857143
Munster Rugby Gaming,0.7142857142857143
eSuba,0.7176470588235294
Suppup eSports,0.71875
Zwan Gaming Colombia,0.7209302325581395
Issue is Critical,0.7222222222222222
Nordavind Academy,0.7222222222222222
Legacy Esports,0.7246376811594203
Undead Gaming,0.726027397260274
Movistar Riders,0.7263157894736842
Team Aze,0.7272727272727273
First Blood Esports,0.7272727272727273
FunPlus Phoenix Blaze,0.7307692307692307
Anubis Gaming,0.7333333333333333
100 Thieves Next,0.7340425531914894
Lane:ZERO Blizzard,0.7368421052631579
Sector One,0.7402597402597403
Warthox,0.7428571428571429
Cloud9,0.7435897435897436
Electronik Generation,0.75
MTW Gaming,0.75
SAIM SE,0.75
Meme City Esports,0.75
Phoenix Carnage,0.75
G-Pride,0.75
Wygers Argentina,0.75
Divine Vendetta,0.75
G Minh Toàn,0.75
Zeu5 Bogota,0.7586206896551724
Descuydado Esports,0.76
UniQ Esports Club,0.7608695652173914
Flayn eSports,0.7619047619047619
NYYRIKKI,0.7647058823529411
AGO ROGUE,0.7676767676767676
Recon 5 Green,0.7692307692307693
ByakkO.My,0.7692307692307693
Cloud9 Academy,0.7704918032786885
Rebirth eSports,0.7708333333333334
Bethany Esports,0.7777777777777778
HoneyBeesports Academy,0.7777777777777778
Team Oplon,0.7777777777777778
Gen.G Academy,0.7777777777777778
Team Phantasma,0.7777777777777778
Estral Esports,0.7794117647058824
LYTH Gaming,0.7857142857142857
Awesome Spear,0.7906976744186046
PENTA 1860,0.7948717948717948
YDN Devils,0.8
UC Bearcats,0.8
Life Essence,0.8
Team Aquila,0.8
EGZ Esports,0.8
Repre Gold,0.8
Team Frozen Knives,0.8181818181818182
Invictus Gaming Youth,0.8333333333333334
Unicorns Of Love,0.84375
SLO REJECTS,0.875
Illinois Academy,0.8888888888888888
Young Glory,0.9
Dire Cubs,0.9047619047619048
Young Buffalo,0.9230769230769231
T1 Rookies,0.9230769230769231
Fox Gaming,0.9333333333333333
OG Esports,0.9512195121951219
IWC Academy,0.9642857142857143
Beşiktaş e-Sports Club,1.0
Project Guardians,1.0
CHINA NO.1,1.0
Manguste eSports,1.0
World Class Ego,1.0
First Blood Paladins,1.0
Final Boss,1.0
Risen Esports,1.0
Slaughter House Academy,1.0
Windstorm Gaming,1.0
XT Gurb Nation,1.0
GamersOrigin Academy,1.0
RxR Gaming,1.0
Initial Esports,1.0
Cloud9 Classic,1.0
Métafun,1.0
Resolve,1.0
Agurins Kindergarten,1.0
Team Domingo,1.0
LDM Esports,1.0
GG&Beer,1.0
Trọc Adonis,1.0
Luxury Esports,1.0
